Age,Partners,Single,Children,Basic,Graduation,AdvanceEducation,Income,TotalSpendings,PlaceSpendings,WebEnrollment,MonthEnrollment,Accepting_Cmps,Recency,Complain,Response
66,0,1,0,0,1,0,58138.0,1617,25,7,129,0,58,0,1
69,0,1,2,0,1,0,46344.0,27,6,5,101,0,38,0,0
58,1,0,0,0,1,0,71613.0,776,21,4,113,0,26,0,0
39,1,0,1,0,1,0,26646.0,53,8,6,99,0,26,0,0
42,1,0,1,0,0,1,58293.0,422,19,5,108,0,94,0,0
56,1,0,1,0,0,1,62513.0,716,22,6,112,0,16,0,0
52,0,1,1,0,1,0,55635.0,590,21,6,122,0,34,0,0
38,1,0,1,0,0,1,33454.0,169,10,8,113,0,32,0,0
49,1,0,1,0,0,1,30351.0,46,6,9,115,0,19,0,1
73,1,0,2,0,0,1,5648.0,49,2,20,106,1,68,0,0
47,1,0,0,1,0,0,7500.0,61,6,8,122,0,59,0,0
64,0,1,0,0,1,0,63033.0,1102,16,2,110,0,82,0,0
71,0,1,2,0,0,1,59354.0,310,15,6,110,0,53,0,0
36,1,0,0,0,1,0,17323.0,46,5,8,123,0,38,0,0
77,0,1,0,0,0,1,82800.0,1315,26,3,122,2,23,0,1
43,1,0,2,0,1,0,41850.0,96,9,8,121,0,51,0,0
77,1,0,0,0,1,0,37760.0,317,13,7,125,0,20,0,0
74,1,0,1,0,0,1,76995.0,1782,26,5,118,1,91,0,0
38,0,1,1,0,0,1,33812.0,133,8,6,130,0,86,0,0
41,1,0,0,0,1,0,37040.0,316,12,8,125,0,41,0,0
44,1,0,1,0,1,0,2447.0,1730,43,1,115,0,42,0,0
74,1,0,1,0,0,1,58607.0,972,17,8,121,1,63,0,0
69,1,0,1,0,0,1,65324.0,544,20,4,98,0,0,0,0
72,1,0,1,0,1,0,40689.0,444,20,8,118,0,69,0,0
54,0,1,0,0,1,0,18589.0,75,8,7,119,0,89,0,0
47,1,0,2,0,1,0,53359.0,257,14,7,116,0,4,0,0
34,1,0,1,0,1,0,38360.0,131,9,3,116,0,26,0,0
58,1,0,0,0,0,1,84618.0,1672,26,2,110,1,96,0,0
34,0,1,0,0,0,1,10979.0,30,8,5,104,0,34,0,0
60,1,0,0,0,0,1,38620.0,318,11,3,110,0,56,0,0
53,1,0,1,0,1,0,40548.0,120,9,5,123,1,31,0,0
71,0,1,2,0,0,1,46610.0,302,17,6,123,0,8,0,1
77,1,0,0,0,0,1,68657.0,1196,18,7,119,0,4,0,0
72,0,1,2,0,0,1,49389.0,65,6,7,113,0,55,0,0
53,1,0,1,0,0,1,67353.0,913,28,2,109,0,37,0,0
47,1,0,1,0,0,1,23718.0,81,9,7,119,0,76,0,0
50,0,1,1,0,1,0,42429.0,67,7,5,98,0,99,0,0
80,0,1,0,0,0,1,48948.0,902,24,6,120,1,53,0,1
43,1,0,1,0,1,0,80011.0,1395,21,4,117,0,3,0,0
38,1,0,1,0,0,1,20559.0,53,7,8,109,0,88,0,0
66,1,0,1,0,1,0,21994.0,22,4,5,121,0,4,0,0
48,1,0,1,0,0,1,7500.0,31,8,5,119,0,19,0,0
47,0,1,0,0,1,0,79941.0,984,16,1,103,0,72,0,0
27,1,0,0,0,0,1,7500.0,122,10,9,124,0,24,0,1
55,1,0,1,0,1,0,41728.0,55,5,10,116,0,92,0,0
69,1,0,2,0,0,1,72550.0,1319,28,8,125,0,39,0,0
66,0,1,1,0,1,0,65486.0,507,17,2,97,0,29,0,0
59,1,0,0,0,0,1,79143.0,1693,29,3,122,0,2,0,0
46,0,1,1,0,1,0,35790.0,72,7,7,119,0,54,0,0
46,0,1,0,0,1,0,82582.0,1617,21,1,102,2,54,0,1
45,1,0,2,0,1,0,66373.0,606,23,3,109,0,57,0,0
68,1,0,0,0,0,1,82384.0,1957,27,1,122,1,55,0,1
57,0,1,0,0,1,0,70287.0,1093,21,3,119,0,30,0,1
35,0,1,1,0,1,0,27938.0,29,6,3,105,0,31,0,0
55,1,0,1,0,0,1,55954.0,518,19,7,106,0,63,0,0
41,0,1,0,0,0,1,75777.0,1438,21,1,117,2,12,0,1
48,1,0,2,0,1,0,66653.0,612,22,3,126,0,18,0,0
71,0,1,1,0,1,0,61823.0,884,24,7,119,0,26,0,0
72,0,1,1,0,0,1,67680.0,606,19,5,110,0,8,0,0
75,1,0,0,0,1,0,70666.0,1076,16,4,115,0,29,0,0
52,1,0,1,0,1,0,25721.0,34,5,7,116,0,75,0,1
56,1,0,2,0,1,0,32474.0,11,4,7,98,0,0,0,0
44,0,1,1,0,0,1,88194.0,1274,32,5,106,2,19,0,1
65,1,0,1,0,1,0,69096.0,653,18,4,112,0,4,0,0
53,1,0,3,0,1,0,74854.0,1562,19,5,113,0,90,0,0
69,1,0,0,0,0,1,66991.0,1253,21,3,122,0,1,0,0
64,1,0,1,0,1,0,65031.0,863,30,7,118,0,29,0,0
48,1,0,2,0,0,1,60631.0,661,24,7,116,1,88,0,0
71,1,0,0,0,1,0,28332.0,65,8,2,105,0,58,0,0
46,0,1,1,0,1,0,40246.0,13,4,6,121,0,68,0,0
51,1,0,0,0,0,1,75251.0,1890,19,5,125,0,34,0,1
47,0,1,0,0,1,0,75825.0,2209,22,4,121,1,40,0,1
47,1,0,0,0,0,1,26326.0,18,4,3,117,0,12,1,0
58,1,0,0,0,1,0,56046.0,692,21,8,119,1,9,0,1
38,0,1,1,0,1,0,29760.0,165,12,8,125,0,87,0,0
54,1,0,1,0,1,0,26304.0,16,4,7,115,0,5,0,0
50,1,0,1,0,0,1,23559.0,79,9,7,118,0,87,0,0
60,1,0,0,0,0,1,38620.0,318,11,3,110,0,56,0,0
36,0,1,0,0,1,0,81361.0,778,27,1,107,0,18,0,0
63,1,0,2,0,1,0,29440.0,56,7,7,110,0,95,0,0
53,1,0,2,0,0,1,36138.0,151,13,7,114,1,48,0,0
66,0,1,1,0,1,0,50388.0,372,17,7,104,2,3,0,1
50,1,0,0,0,1,0,79593.0,1366,19,2,97,1,70,0,0
56,1,0,1,0,1,0,54178.0,194,10,2,108,0,79,0,0
51,0,1,1,0,0,1,42394.0,32,5,7,106,0,69,0,0
53,1,0,1,0,0,1,23626.0,43,10,5,104,0,84,0,0
40,1,0,1,0,1,0,30096.0,45,6,6,104,0,30,0,0
63,0,1,1,0,1,0,47916.0,606,22,6,122,1,72,0,0
51,0,1,2,0,1,0,51813.0,63,7,7,110,0,37,0,0
72,1,0,0,0,0,1,78497.0,978,25,2,120,1,44,0,0
40,1,0,0,0,0,1,50150.0,410,16,5,115,0,32,0,0
63,0,1,1,0,0,1,47823.0,72,7,8,114,0,0,0,0
64,0,1,1,0,0,1,34554.0,55,7,6,106,0,43,0,0
44,1,0,1,0,1,0,85693.0,1169,27,5,117,0,59,0,0
78,1,0,0,0,0,1,65846.0,1120,16,4,116,0,68,0,0
64,1,0,0,0,1,0,87195.0,1097,20,1,101,0,35,0,1
44,1,0,1,1,0,0,24594.0,29,5,5,111,0,94,0,0
59,1,0,2,0,1,0,49096.0,187,13,7,112,0,15,0,0
54,1,0,2,0,1,0,52413.0,910,26,6,119,0,56,0,0
45,0,1,1,0,1,0,38557.0,145,9,7,121,0,17,0,0
63,1,0,0,0,0,1,89058.0,850,14,2,126,0,18,0,0
44,1,0,1,0,1,0,77298.0,969,24,3,119,0,46,0,0
32,0,1,0,0,0,1,68126.0,1820,17,9,123,1,40,0,1
60,1,0,1,0,0,1,57288.0,608,20,6,103,1,27,0,0
32,0,1,0,0,1,0,86037.0,730,25,3,119,2,95,0,1
43,1,0,1,0,0,1,43974.0,551,21,7,121,0,19,0,0
61,0,1,2,0,1,0,50785.0,114,8,6,111,0,27,0,0
53,1,0,0,0,1,0,90765.0,1724,15,1,108,2,25,0,0
45,1,0,1,0,0,1,36550.0,577,20,9,119,0,74,0,0
56,1,0,2,0,0,1,30753.0,81,7,5,110,0,85,0,0
54,1,0,1,0,1,0,21918.0,33,7,6,110,0,37,0,0
70,1,0,1,0,0,1,56129.0,660,22,4,115,0,65,0,0
56,0,1,1,0,0,1,32557.0,80,9,5,107,0,13,0,1
